Name,Size,Type,CR,URL,Font,Author,AC,HP,Speeds,Align.,STR,DEX,CON,INT,WIS,CHA,Sav. Throws,Skills,WRI,Senses,Languages,Additional,average_damage,attack_modifier,has_legendary_action,legendary_action_damage,has_flight,resistance_count,immunity_count,weakness_count,save_dc,is_spellcaster,regeneration_per_round,multiattack_count,ability_count,ability_cr_weight,recharge_damage,limited_use_damage,bonus_action_damage
Almiraj,Small,Beast,0.00,,Tomb of Annihilation,Wizards of the Coast,13,3,50,U,2,16,10,2,14,10,None,"Perception, Stealth",None,"Darkvision 30, tremorsense 60",None,"Keen Hearing, Keen Sight",,,,,,,,,,,,,,,,,
Chwinga,Tiny,Elemental,0.00,,Tomb of Annihilation,Wizards of the Coast,15,5,"20, climb 20, swim 20",N,1,20,10,14,16,16,None,"Acrobatics, Perception, Stealth",None,Blindsight 60,None,"Evasion, Innate Spellcasting",,,,,,,,,,,,,,,,,
Cranium Rat,Tiny,Beast,0.00,,Volo's Guide to Monsters,Wizards of the Coast,12,2,30,LE,2,14,10,4,11,8,None,None,None,"Darkvision 30, tremorsense 60",Telepathy 30,"Illumination, Telepathic Shroud",,,,,,,,,,,,,,,,,
Crawling Claw,Tiny,Undead,0.00,,Monster Manual,Wizards of the Coast,12,2,"20, climb 20",NE,13,14,11,5,10,4,None,None,"Poisonimmu, charmedimmu, exhaustionimmu, poisonedimmu",Blindsight 30,Common,Turn Immunity,,,,,,,,,,,,,,,,,
"Devil, Lemure",Medium,Fiend (Devil),0.00,,Monster Manual,Wizards of the Coast,7,13,15,LE,10,5,11,1,11,3,None,None,"Coldres, fireimmu, poisonimmu, charmedimmu, frightenedimmu, poisonedimmu",Darkvision 120,Infernal,"Devil's Sight, Hellish Rejuvenation",,,,,,,,,,,,,,,,,
Flying Monkey,Small,Beast,0.00,,Tomb of Annihilation,Wizards of the Coast,12,3,"20, climb 20, fly 30",U,8,14,11,5,12,6,None,None,None,Normal,None,Pack Tactics,,,,,,,,,,,,,,,,,
"Fungus, Shrieker",Medium,Plant,0.00,,Monster Manual,Wizards of the Coast,5,13,None,U,1,1,10,1,10,3,None,None,"Blindedimmu, deafenedimmu, frightenedimmu",Blindsight 30,None,False Appearance,,,,,,,,,,,,,,,,,
Giant Fly,Large,Beast,0.00,,Dungeon Master's Guide,Wizards of the Coast,11,19,"30, fly 60",U,14,13,13,2,10,3,None,None,None,Darkvision 60,None,None,,,,,,,,,,,,,,,,,
Homunculus,Tiny,Construct,0.00,,Monster Manual,Wizards of the Coast,13,5,"20, fly 40",N,4,15,11,10,10,7,None,None,"Poisonimmu, charmedimmu, poisonedimmu",Darkvision 60,Creator,Telepathic Bond,,,,,,,,,,,,,,,,,
"Misc. Creature, Awakened Shrub",Small,Plant,0.00,,Monster Manual,Wizards of the Coast,9,10,20,U,3,8,11,10,10,6,None,None,"Fireweak, piercingres",Normal,Creator,False Appearance,,,,,,,,,,,,,,,,,
"Misc. Creature, Baboon",Small,Beast,0.00,,Monster Manual,Wizards of the Coast,12,3,"30, climb 30",U,8,14,11,4,12,6,None,None,None,Normal,None,Pack Tactics,,,,,,,,,,,,,,,,,
"Misc. Creature, Badger",Tiny,Beast,0.00,,Monster Manual,Wizards of the Coast,10,3,"20, burrow 5",U,4,11,12,2,12,5,None,None,None,Darkvision 30,None,Keen Smell,,,,,,,,,,,,,,,,,
"Misc. Creature, Bat",Tiny,Beast,0.00,,Monster Manual,Wizards of the Coast,12,1,"5, fly 30",U,2,15,8,2,12,4,None,None,None,Blindsight 60,None,"Echolocation, Keen Hearing",,,,,,,,,,,,,,,,,
"Misc. Creature, Cat",Tiny,Beast,0.00,,Monster Manual,Wizards of the Coast,12,2,"40, climb 30",U,3,15,10,3,12,7,None,"Perception, Stealth",None,Normal,None,Keen Smell,,,,,,,,,,,,,,,,,
"Misc. Creature, Crab",Tiny,Beast,0.00,,Monster Manual,Wizards of the Coast,11,2,"20, swim 20",U,2,11,10,1,8,2,None,Stealth,None,Blindsight 30,None,Amphibious,,,,,,,,,,,,,,,,,
"Misc. Creature, Deer",Medium,Beast,0.00,,Monster Manual,Wizards of the Coast,13,4,50,U,11,16,11,2,14,5,None,None,None,Normal,None,None,,,,,,,,,,,,,,,,,
"Misc. Creature, Eagle",Small,Beast,0.00,,Monster Manual,Wizards of the Coast,12,3,"10, fly 60",U,6,15,10,2,14,7,None,Perception,None,Normal,None,Keen Sight,,,,,,,,,,,,,,,,,
"Misc. Creature, Frog",Tiny,Beast,0.00,,Monster Manual,Wizards of the Coast,11,1,"20, swim 20",U,1,13,8,1,8,3,None,"Perception, Stealth",None,Darkvision 30,None,"Amphibious, Standing Leap",,,,,,,,,,,,,,,,,
"Misc. Creature, Giant Fire Beetle",small,Beast,0.00,,Monster Manual,Wizards of the Coast,13,4,30,U,8,10,12,1,7,3,None,None,None,Blindsight 30,None,Illumination,,,,,,,,,,,,,,,,,
"Misc. Creature, Goat",Medium,Beast,0.00,,Monster Manual,Wizards of the Coast,10,4,40,U,12,10,11,2,10,5,None,None,None,Normal,None,"Charge, Sure-Footed",,,,,,,,,,,,,,,,,
"Misc. Creature, Hawk",Tiny,Beast,0.00,,Monster Manual,Wizards of the Coast,13,1,"10, fly 60",U,5,16,8,2,14,6,None,Perception,None,Normal,None,Keen Sight,,,,,,,,,,,,,,,,,
"Misc. Creature, Hyena",Medium,Beast,0.00,,Monster Manual,Wizards of the Coast,11,5,50,U,11,13,12,2,12,5,None,Perception,None,Normal,None,Pack Tactics,,,,,,,,,,,,,,,,,
"Misc. Creature, Jackal",Small,Beast,0.00,,Monster Manual,Wizards of the Coast,12,3,40,U,8,15,11,3,12,6,None,Perception,None,Normal,None,"Keen Hearing, Keen Smell, Pack Tactics",,,,,,,,,,,,,,,,,
"Misc. Creature, Lizard",Tiny,Beast,0.00,https://roll20.net/compendium/dnd5e/Lizard#content,Monster Manual,Wizards of the Coast,10,2,"20, climb 20",U,2,11,10,1,8,3,None,None,None,Darkvision 30,None,None,,,,,,,,,,,,,,,,,
"Misc. Creature, Octopus",Small,Beast,0.00,,Monster Manual,Wizards of the Coast,12,3,"5, swim 30",U,4,15,11,3,10,4,None,"Perception, Stealth",None,Darkvision 30,None,"Hold Breath, Underwater Camouflage, Water Breathing",,,,,,,,,,,,,,,,,
"Misc. Creature, Owl",Tiny,Beast,0.00,,Monster Manual,Wizards of the Coast,11,1,"5, fly 60",U,3,13,8,2,12,7,None,"Perception, Stealth",None,Darkvision 120,None,"FLyby, Keen Hearing, Keen Sight",,,,,,,,,,,,,,,,,
"Misc. Creature, Quipper",Tiny,Beast,0.00,,Monster Manual,Wizards of the Coast,13,1,swim 40,U,2,16,9,1,7,2,None,None,None,Darkvision 60,None,"Blood Frenzy, Water Breathing",,,,,,,,,,,,,,,,,
"Misc. Creature, Rat",Tiny,Beast,0.00,,Monster Manual,Wizards of the Coast,10,1,20,U,2,11,9,2,10,4,None,None,None,Darkvision 30,None,Keen Smell,,,,,,,,,,,,,,,,,
"Misc. Creature, Raven",Tiny,Beast,0.00,,Monster Manual,Wizards of the Coast,12,1,"10, fly 50",U,2,14,8,2,12,6,None,Perception,None,Normal,None,Mimicry,,,,,,,,,,,,,,,,,
"Misc. Creature, Scorpion",Tiny,Beast,0.00,,Monster Manual,Wizards of the Coast,11,1,10,U,2,11,8,1,8,2,None,None,None,Normal,None,None,,,,,,,,,,,,,,,,,
"Misc. Creature, Sea Horse",Tiny,Beast,0.00,,Monster Manual,Wizards of the Coast,11,1,swim 20,U,1,12,8,1,10,2,None,None,None,Normal,None,Water Breathing,,,,,,,,,,,,,,,,,
"Misc. Creature, Spider",Tiny,Beast,0.00,,Monster Manual,Wizards of the Coast,12,1,"20, climb 20",U,2,14,8,1,10,2,None,Stealth,None,Darkvision 30,None,"Spider Climb, Web Sense, Web Walker",,,,,,,,,,,,,,,,,
"Misc. Creature, Vulture",Medium,Beast,0.00,,Monster Manual,Wizards of the Coast,10,5,"10, fly 50",U,7,10,13,2,12,4,None,Perception,None,Normal,None,"Keen Sight, Keen Smell, Pack Tactics",,,,,,,,,,,,,,,,,
"Misc. Creature, Weasel",Tiny,Beast,0.00,,Monster Manual,Wizards of the Coast,13,1,30,U,3,16,8,2,12,3,None,"Perception, Stealth",None,Normal,None,"Keen Hearing, Keen Smell",,,,,,,,,,,,,,,,,
Myconid Sprout,Small,Plant,0.00,,Monster Manual,Wizards of the Coast,10,7,10,LN,8,10,10,8,11,5,None,None,None,Darkvision 120,None,"Distress Spores, Sun Sickness",,,,,,,,,,,,,,,,,
"NPC, Commoner",Medium,Humanoid,0.00,https://roll20.net/compendium/dnd5e/Commoner#content,Monster Manual,Wizards of the Coast,10,4,30,ANY,10,10,10,10,10,10,None,None,None,Normal,Any,None,,,,,,,,,,,,,,,,,
Tressym,Tiny,Beast,0.00,,Storm King's Thunder,Wizards of the Coast,12,5,"40, climb 30, fly 40",CN,3,15,10,11,12,12,None,"Perception, Stealth","Poisonimmu, poisonedimmu",Darkvision 60,Common,"Detect Invisibility, Keen Smell, Poison Sense",,,,,,,,,,,,,,,,,
"Assorted Beast, Dolphin",Medium,Beast,0.13,,Volo's Guide to Monsters,Wizards of the Coast,12,11,swim 60,U,14,13,13,6,12,7,None,Perception,None,Blindsight 60,None,"Charge, Hold Breath",,,,,,,,,,,,,,,,,
"Blight, Twig",Small,Plant,0.13,,Monster Manual,Wizards of the Coast,13,4,"20, ",NE,6,13,12,4,8,3,None,Stealth,"Fireweak, blindedimmu, deafenedimmu",Blindsight 60,Common,False Appearance,,,,,,,,,,,,,,,,,
Boggle,Small,Fey,0.13,,Volo's Guide to Monsters,Wizards of the Coast,14,18,"30, climb 30",CN,8,18,13,6,12,7,None,"Perception, Sleight of Hand, Stealth",Fireres,Darkvision 60,Sylvan,"Boggle Oil, Dimensional Rift, Uncanny Smell",,,,,,,,,,,,,,,,,
"Demon, Manes",Small,Fiend (Demon),0.13,https://www.aidedd.org/dnd/monstres.php?vo=manes,Monster Manual,Wizards of the Coast,9,9,20,CE,10,9,13,3,8,4,None,None,"Coldres, fireres, lightningres, poisonimmu, charmedimmu, frightenedimmu, poisonedimmu",Darkvision 60,Abyssal,None,,,,,,,,,,,,,,,,,
Flumph,Small,Aberration,0.13,,Monster Manual,Wizards of the Coast,12,7,"5, fly 30",LG,6,15,10,14,14,11,None,"Arcana, History, Religion",Psychicweak,Darkvision 60,"Undercommon, telepathy 60","Advanced Telepathy, Prone Deficiency, Telepathic Shroud",,,,,,,,,,,,,,,,,
Howling Hatred Initiate,Medium,Humanoid (Human),0.13,,Princes of the Apocalypse,Wizards of the Coast,13,9,30,NE,10,15,10,10,9,11,None,"Deception, Religion, Stealth",None,Normal,Common,"Guiding Wind, Hold Breath",,,,,,,,,,,,,,,,,
Kobold,Small,Humanoid,0.13,,Monster Manual,Wizards of the Coast,12,5,30,LE,7,15,9,8,7,8,None,None,None,Darkvision 60,"Common, Draconic","Sunlight Sensitivity, Pack Tactics",,,,,,,,,,,,,,,,,
"Kruthik, Young",Small,Monstrosity,0.13,,Mordenkainen's Tome of Foes,Wizards of the Coast,16,9,"30, burrow 10, climb 30",U,13,16,13,4,10,6,None,None,None,"Darkvision 30, tremorsense 60",Own,"Keen Smell, Pack Tactics, Tunneler",,,,,,,,,,,,,,,,,
Merfolk,Medium,Humanoid,0.13,,Monster Manual,Wizards of the Coast,11,11,"10, swim 40",N,10,13,12,11,11,12,None,Perception,None,Normal,"Aquan, Common",Amphibious,,,,,,,,,,,,,,,,,
"Misc. Creature, Blood Hawk",Small,Beast,0.13,,Monster Manual,Wizards of the Coast,12,7,"10, fly 60",U,6,14,10,3,14,5,None,Perception,None,Normal,None,"Keen Sight, Pack Tactics",,,,,,,,,,,,,,,,,
"Misc. Creature, Camel",Large,Beast,0.13,,Monster Manual,Wizards of the Coast,9,15,50,U,16,8,14,2,8,5,None,None,None,Normal,None,None,,,,,,,,,,,,,,,,,
"Misc. Creature, Flying Snake",Tiny,Beast,0.13,,Monster Manual,Wizards of the Coast,14,5,"30, fly 60, swim 30",U,4,18,11,2,12,5,None,None,None,Blindsight 10,None,Flyby,,,,,,,,,,,,,,,,,
"Misc. Creature, Giant Crab",Medium,Beast,0.13,,Monster Manual,Wizards of the Coast,15,13,"30, swim 30",U,13,15,11,1,9,3,None,Stealth,None,Blindsight 30,None,Amphibious,,,,,,,,,,,,,,,,,
"Misc. Creature, Giant Rat",Small,Beast,0.13,,Monster Manual,Wizards of the Coast,12,7,30,U,7,15,11,2,10,4,None,None,None,Darkvision 60,None,"Keen Smell, Pack Tactics",,,,,,,,,,,,,,,,,
"Misc. Creature, Giant Weasel",Medium,Beast,0.13,,Monster Manual,Wizards of the Coast,13,9,40,U,11,16,10,4,12,5,None,"Perception, Stealth",None,Darkvision 60,None,"Keen Hearing, Keen Smell",,,,,,,,,,,,,,,,,
"Misc. Creature, Mastiff",Medium,Beast,0.13,,Monster Manual,Wizards of the Coast,12,5,40,U,13,14,12,3,12,7,None,Perception,None,Normal,None,"Keen Hearing, Keen Smell",,,,,,,,,,,,,,,,,
"Misc. Creature, Mule",Medium,Beast,0.13,,Monster Manual,Wizards of the Coast,10,11,40,U,14,10,13,2,10,5,None,None,None,Normal,None,"Beast of Burden, Sure-Footed",,,,,,,,,,,,,,,,,
"Misc. Creature, Poisonous Snake",Tiny,Beast,0.13,,Monster Manual,Wizards of the Coast,13,13,"30, swim 30",U,2,16,11,1,10,3,None,None,None,Blindsight 10,None,None,,,,,,,,,,,,,,,,,
"Misc. Creature, Pony",Medium,Beast,0.13,,Monster Manual,Wizards of the Coast,10,11,40,U,15,10,13,2,11,7,None,None,None,Normal,None,None,,,,,,,,,,,,,,,,,
"Modron, Monodrone",Medium,Construct,0.13,,Monster Manual,Wizards of the Coast,15,5,"30, fly 30",LN,1,13,12,4,10,5,None,None,None,Truesight 120,Modron,"Axiomatic Mind, Disintegration",,,,,,,,,,,,,,,,,
Neogi Hatchling,Tiny,Aberration,0.13,,Volo's Guide to Monsters,Wizards of the Coast,11,7,"20, climb 20",LE,3,13,10,6,10,9,None,None,None,Darkvision 60,None,"Mental Fortitude, Spider Climb",,,,,,,,,,,,,,,,,
"NPC, Bandit",Medium,Humanoid,0.13,https://www.dndbeyond.com/monsters/16798-bandit?srsltid=AfmBOop9rXu5tLsNOwLC-Ge0eO3tY8Lc5ojoVKi1pG5a07MIX1DHSqta,Monster Manual,Wizards of the Coast,12,11,30,NOT LAWFUL,11,12,12,10,10,10,None,None,None,Normal,Any,None,,,,,,,,,,,,,,,,,
"NPC, Cultist",Medium,Humanoid,0.13,,Monster Manual,Wizards of the Coast,12,9,30,NOT GOOD,11,12,10,10,11,10,None,"Deception, Religion",None,Normal,Any,Dark Devotion,,,,,,,,,,,,,,,,,
"NPC, Guard",Medium,Humanoid,0.13,,Monster Manual,Wizards of the Coast,16,11,30,ANY,13,12,12,10,11,10,None,Perception,None,Normal,Any,None,,,,,,,,,,,,,,,,,
"NPC, Noble",Medium,Humanoid,0.13,,Monster Manual,Wizards of the Coast,15,9,30,ANY,11,12,11,12,14,16,None,"Deception, Insight, Persuasion",None,Normal,Any,None,,,,,,,,,,,,,,,,,
"NPC, Tribal Warrior",Medium,Humanoid,0.13,,Monster Manual,Wizards of the Coast,12,11,30,ANY,13,11,12,8,11,8,None,None,None,Normal,Any,Pack Tactics,,,,,,,,,,,,,,,,,
